id,source_url,company_name,rating,reviews_count,hourly_rate,min_project_size,team_size,last_crawled_at,locations,services_offered,source,hourly_low,hourly_high,hourly_mid,min_project_usd,team_low,team_high,team_mid,svc_ai,svc_iot,svc_mobile,price_segment
1000,https://www.goodfirms.co/internet-of-things,(v)WeCare,5.0,2,,,250 - 999,2025-10-26 16:18:17.951099,"['NYC, New York']",['IoT Development Services'],www.goodfirms.co,,,37.0,,250,999,329.5,0,1,0,middle-priced
149,https://www.goodfirms.co/robotic-process-automation,10xDS - Exponential Digital Solutions,5.0,1,,,50 - 249,2025-10-26 12:25:21.870635,"['Abu Dhabi, UAE']",['Robotic Process Automation Services'],www.goodfirms.co,,,37.0,,50,249,149.5,0,0,0,middle-priced
651,https://clutch.co/developers/artificial-intelligence?page=5,10xStudio,5.0,4,$50 - $99 / hr,"$5,000+",10 - 49,2025-10-26 16:06:03.350688,"['Amsterdam, Netherlands']","['AI Development', 'Generative AI', 'Custom Software Development', 'AI Consulting']",clutch.co,50.0,99.0,74.5,5000.0,10,49,29.5,1,0,0,middle-priced
944,https://clutch.co/developers/internet-of-things?page=3,21Twelve Interactive,4.9,34,< $25 / hr,"$1,000+",10 - 49,2025-10-26 16:05:58.994572,"['Ahmedabad, India']","['IoT Development', 'Mobile App Development', 'Pay Per Click', 'Search Engine Optimization', 'AI Development', 'AR/VR Development', 'Custom Software Development', 'Web Development']",clutch.co,0.0,25.0,12.5,1000.0,10,49,29.5,1,1,1,low-priced
565,https://clutch.co/directory/mobile-application-developers?page=5,247 Labs Inc.,4.7,93,$50 - $99 / hr,"$1,000+",50 - 249,2025-10-26 16:06:04.896332,"['Toronto, Canada']","['Mobile App Development', 'Web Development', 'AI Development', 'Custom Software Development', 'Web Design']",clutch.co,50.0,99.0,74.5,1000.0,50,249,149.5,1,0,1,middle-priced
632,https://clutch.co/developers/artificial-intelligence?page=5,2muchcoffee,5.0,26,$25 - $49 / hr,"$10,000+",10 - 49,2025-10-26 16:06:03.390711,"['Kyiv, Ukraine']","['Web Development', 'AI Development', 'Mobile App Development', 'UX/UI Design']",clutch.co,25.0,49.0,37.0,10000.0,10,49,29.5,1,0,1,middle-priced
161,https://clutch.co/developers/artificial-intelligence?page=10,3 SIDED CUBE,4.9,45,$100 - $149 / hr,"$50,000+",50 - 249,2025-10-26 12:42:20.745621,"['Bournemouth, England']","['.6/20 Reviews', '/10 Clients & Experience', '.8/10 Market Presence', 'AI Development', 'Other']",clutch.co,100.0,149.0,124.5,50000.0,50,249,149.5,1,0,0,high-priced
718,https://clutch.co/developers/internet-of-things?page=4,482.solutions,4.9,10,$25 - $49 / hr,"$10,000+",50 - 249,2025-10-26 16:06:01.687478,['Singapore'],"['IoT Development', 'Blockchain', 'Custom Software Development', 'Other IT Consulting and SI', 'Corporate Training & Coaching']",clutch.co,25.0,49.0,37.0,10000.0,50,249,149.5,0,1,0,middle-priced
879,https://clutch.co/developers/artificial-intelligence?page=4,4soft,5.0,54,$50 - $99 / hr,"$10,000+",50 - 249,2025-10-26 16:06:00.085647,"['Wrocław, Poland']","['Blockchain', 'AI Development']",clutch.co,50.0,99.0,74.5,10000.0,50,249,149.5,1,0,0,middle-priced
638,https://clutch.co/developers/artificial-intelligence?page=5,500 Designs,5.0,41,$100 - $149 / hr,"$25,000+",50 - 249,2025-10-26 16:06:03.377844,"['Irvine, CA']","['Web Design', 'Branding', 'AI Consulting', 'Content Marketing', 'Marketing Strategy', 'Search Engine Optimization', 'UX/UI Design', 'Web Development']",clutch.co,100.0,149.0,124.5,25000.0,50,249,149.5,1,0,0,high-priced
648,https://clutch.co/developers/artificial-intelligence?page=5,7EDGE,4.9,23,< $25 / hr,"$25,000+",50 - 249,2025-10-26 16:06:03.356856,"['Bengaluru, India']","['Custom Software Development', 'AI Development', 'BI & Big Data Consulting & SI', 'Cloud Consulting & SI', 'Enterprise App Modernization', 'Generative AI', 'Mobile App Development', 'Web Development']",clutch.co,0.0,25.0,12.5,25000.0,50,249,149.5,1,0,1,low-priced
779,https://clutch.co/directory/mobile-application-developers?page=4,99x,4.8,48,$25 - $49 / hr,"$25,000+",250 - 999,2025-10-26 16:06:01.293819,"['Vitória, Brazil']","['Mobile App Development', 'Custom Software Development', 'IT Staff Augmentation', 'AI Development', 'Web Development']",clutch.co,25.0,49.0,37.0,25000.0,250,999,329.5,1,0,1,middle-priced
284,https://clutch.co/developers/internet-of-things?page=10,ACTE Technology,5.0,1,Undisclosed,"$1,000+",2 - 9,2025-10-26 12:42:22.082067,"['Ho Chi Minh City, Vietnam']","['IoT Development', 'Application Management & Support', 'BI & Big Data Consulting & SI', 'IT Strategy Consulting']",clutch.co,,,74.5,1000.0,2,9,5.5,0,1,0,middle-priced
107,https://www.goodfirms.co/robotic-process-automation,AI Labeler,5.0,9,< $25/hr,,50 - 249,2025-10-26 12:25:21.856993,"['NYC, New York']",['Robotic Process Automation Services'],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0,low-priced
73,https://www.goodfirms.co/artificial-intelligence,AIMLEAP - Outsource Bigdata,4.9,64,< $25/hr,,50 - 249,2025-10-26 12:19:33.064523,"['NYC, New York']",['Artificial Intelligence Services'],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,1,0,0,low-priced
36,https://www.goodfirms.co/artificial-intelligence,AIVEDA,5.0,12,< $25/hr,,50 - 249,2025-10-26 12:19:33.084488,"['Delhi, India']",['Artificial Intelligence Services'],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,1,0,0,low-priced
260,https://clutch.co/developers/internet-of-things?page=10,AJProTech,5.0,13,$100 - $149 / hr,"$50,000+",10 - 49,2025-10-26 12:42:22.102172,"['Calabasas, CA']","['.8/20 Reviews', '/10 Clients & Experience', '.5/10 Market Presence', 'IoT Development', 'Other']",clutch.co,100.0,149.0,124.5,50000.0,10,49,29.5,0,1,0,high-priced
699,https://clutch.co/developers/internet-of-things?page=4,AMC TECH,5.0,17,$50 - $99 / hr,"$10,000+",50 - 249,2025-10-26 16:06:01.723750,"['Kraków, Poland']","['IoT Development', 'Custom Software Development', 'Product Design', 'Web Development', 'Mobile App Development', 'Wearable App Development']",clutch.co,50.0,99.0,74.5,10000.0,50,249,149.5,0,1,1,middle-priced
563,https://clutch.co/directory/mobile-application-developers?page=5,ANTLR Interactive,5.0,15,Undisclosed,"$10,000+",2 - 9,2025-10-26 16:06:04.900370,"['Canonsburg, PA']","['Mobile App Development', 'Custom Software Development', 'Web Development', 'UX/UI Design']",clutch.co,,,74.5,10000.0,2,9,5.5,0,0,1,middle-priced
