price_segment,region,n
middle-priced,India,68
middle-priced,Poland,56
low-priced,India,49
middle-priced,Ukraine,34
middle-priced,0 selected Clear All,29
middle-priced,CA,28
middle-priced,TX,16
middle-priced,England,15
high-priced,CA,15
middle-priced,California,13
middle-priced,Romania,11
high-priced,Canada,11
middle-priced,Bulgaria,10
middle-priced,Canada,10
middle-priced,Australia,8
low-priced,0 selected Clear All,7
middle-priced,NY,7
middle-priced,FL,7
middle-priced,PA,7
middle-priced,Uruguay,7
middle-priced,GA,6
high-priced,NY,6
middle-priced,Croatia,6
middle-priced,Florida,6
middle-priced,New York,6
middle-priced,Portugal,6
middle-priced,Netherlands,6
high-priced,IL,5
middle-priced,Serbia,5
middle-priced,Texas,5
middle-priced,Germany,5
middle-priced,Czech Republic,5
middle-priced,Virginia,5
high-priced,MI,4
high-priced,MA,4
middle-priced,IL,4
middle-priced,MA,4
middle-priced,Vietnam,4
high-priced,GA,4
high-priced,England,4
high-priced,FL,4
high-priced,TX,4
high-priced,Poland,4
high-priced,California,3
high-priced,Australia,3
high-priced,0 selected Clear All,3
middle-priced,Argentina,3
low-priced,Vietnam,3
middle-priced,VA,3
middle-priced,Armenia,3
middle-priced,CO,3
middle-priced,Colombia,3
low-priced,New York,3
middle-priced,Singapore,3
middle-priced,United Arab Emirates,3
middle-priced,Spain,3
middle-priced,Slovakia,3
middle-priced,NJ,3
middle-priced,NC,3
middle-priced,MN,3
middle-priced,Slovenia,3
middle-priced,South Africa,2
middle-priced,UAE,2
middle-priced,Pakistan,2
middle-priced,Philippines,2
middle-priced,Nevada,2
high-priced,Czech Republic,2
middle-priced,Georgia,2
middle-priced,Türkiye,2
middle-priced,Cyprus,2
middle-priced,Israel,2
middle-priced,Lithuania,2
middle-priced,Indonesia,2
middle-priced,Kazakhstan,2
high-priced,Romania,2
low-priced,California,2
low-priced,England,2
low-priced,Texas,2
middle-priced,Bangladesh,2
middle-priced,Delaware,2
middle-priced,Colorado,2
middle-priced,Estonia,2
high-priced,OR,2
middle-priced,Kentucky,2
high-priced,MN,1
high-priced,ID,1
high-priced,MD,1
high-priced,Cayman Islands,1
high-priced,CO,1
high-priced,Finland,1
high-priced,India,1
low-priced,UAE,1
low-priced,WY,1
low-priced,Nevada,1
high-priced,New York,1
high-priced,PA,1
high-priced,OH,1
high-priced,MT,1
middle-priced,CT,1
low-priced,Argentina,1
low-priced,AZ,1
high-priced,United Arab Emirates,1
high-priced,TN,1
high-priced,NJ,1
low-priced,Bulgaria,1
low-priced,Canada,1
low-priced,Bangladesh,1
low-priced,Indiana,1
low-priced,Egypt,1
low-priced,Philippines,1
low-priced,NY,1
low-priced,North Carolina,1
low-priced,Pakistan,1
low-priced,TX,1
high-priced,MO,1
middle-priced,France,1
middle-priced,Finland,1
middle-priced,Costa Rica,1
middle-priced,DC,1
middle-priced,AZ,1
middle-priced,Bolivia,1
middle-priced,Brazil,1
middle-priced,Maryland,1
middle-priced,MI,1
middle-priced,Illinois,1
middle-priced,Greece,1
middle-priced,Hong Kong,1
middle-priced,Indiana,1
middle-priced,Latvia,1
middle-priced,Italy,1
middle-priced,Massachusetts,1
middle-priced,North Macedonia,1
middle-priced,New Jersey,1
middle-priced,NV,1
middle-priced,MD,1
middle-priced,Malaysia,1
middle-priced,Malta,1
middle-priced,Pennsylvania,1
middle-priced,Ohio,1
middle-priced,Sri Lanka,1
middle-priced,SC,1
middle-priced,Switzerland,1
middle-priced,Sweden,1
middle-priced,Thailand,1
middle-priced,United Kingdom,1
middle-priced,WA,1
middle-priced,WY,1
